Wavelength (nm);Optical Density;% Transmission
1098;5.3391198;0.000458016
1099;5.4083382;0.000390537
1100;5.3774564;0.000419318
1101;5.522414;0.000300321
1102;5.3570252;0.000439516
1103;5.4074402;0.000391345
1104;5.3534742;0.000443125
1105;5.525671;0.000298077
1106;5.3896276;0.00040773
1107;5.5795912;0.000263275
1108;5.5427488;0.000286584
1109;5.616007;0.000242099
1110;5.4724996;0.0003369
1111;5.5917814;0.000255987
1112;5.4626558;0.000344623
1113;5.5956474;0.000253719
1114;5.5474716;0.000283484
1115;5.8723166;0.000134179
1116;5.7361478;0.000183591
1117;5.7889648;0.000162568
1118;5.6765708;0.000210586
1119;5.7949776;0.000160333
1120;5.5083042;0.000310239
1121;5.7098498;0.000195052
1122;5.6607138;0.000218417
1123;5.6815408;0.00020819
1124;5.5272506;0.000296995
1125;5.6325864;0.000233031
1126;5.4379288;0.000364814
1127;5.5633734;0.000273292
1128;5.547057;0.000283755
1129;5.7065238;0.000196551
1130;5.5259012;0.000297919
1131;5.6648374;0.000216353
1132;5.4974186;0.000318113
1133;5.5727986;0.000267425
1134;5.384519;0.000412554
1135;5.4470058;0.000357268
1136;5.3006528;0.000500434
1137;5.334526;0.000462886
1138;5.1692436;0.000677262
1139;5.3462238;0.000450584
1140;5.2751998;0.00053064
1141;5.3750836;0.000421615
1142;5.3857865;0.000411352
1143;5.53118275;0.000294318
1144;5.31195675;0.000487577
1145;5.59225525;0.000255708
1146;5.5326205;0.000293346
1147;5.6260964;0.000236539
1148;5.5465694;0.000284073
1149;5.6545226;0.000221553
1150;5.4538972;0.000351644
1151;5.5909172;0.000256497
1152;5.4621606;0.000345016
1153;5.7100478;0.000194963
1154;5.5971658;0.000252833
1155;5.7163946;0.000192135
1156;5.5495874;0.000282106
1157;5.6565182;0.000220537
1158;5.4620335;0.000345117
1159;5.65695375;0.000220316
1160;5.4907925;0.000323004
1161;5.6993015;0.000199847
1162;5.52196925;0.000300629
1163;5.6175754;0.000241226
1164;5.57132725;0.000268332
1165;5.7953855;0.000160182
1166;5.57488125;0.000266145
1167;5.77949575;0.000166151
1168;5.5430295;0.000286398
1169;5.6344236;0.000232047
1170;5.5025962;0.000314343
1171;5.572235;0.000267772
1172;5.3847428;0.000412342
1173;5.5565622;0.000277612
1174;5.3764988;0.000420244
1175;5.5083262;0.000310223
1176;5.5188635;0.000302786
1177;5.696895;0.000200958
1178;5.482858;0.000328959
1179;5.7903575;0.000162048
1180;5.56669525;0.000271209
1181;5.6533562;0.000222149
1182;5.5102488;0.000308853
1183;5.698832;0.000200064
1184;5.434637;0.000367589
1185;5.5643922;0.000272651
1186;5.3730498;0.000423594
1187;5.5612242;0.000274648
1188;5.5612242;0.000274648
1189;5.759483;0.000173987
1190;5.6208636;0.000239407
1191;5.8701484;0.00013485
1192;5.6802568;0.000208806
1193;5.6802568;0.000208806
1194;5.504406;0.000313036
1195;5.6922;0.000203142
1196;5.542822;0.000286535
1197;5.7801865;0.000165887
1198;5.580953;0.00026245
1199;5.601533;0.000250304
1200;5.562392333;0.00027391
